Run_Number_Run_Number___value                       captorius3_acq_0_Channel_2_SSPALS_Y_[V]_t           captorius3_acq_0_Channel_2_SSPALS_Y_[V]_V           captorius3_acq_0_Channel_2_SSPALS_SSPALS_integral   captorius3_acq_1_Channel_2_SSPALS_SSPALS_integral   
387116                                              [0.000000                                           [-0.0004                                            -9.378078                                           -1.179458                                           
387117                                              [0.000000                                           [-0.0009                                            -9.484600                                           -1.111810                                           
387121                                              [0.000000                                           [-0.0012                                            -6.635040                                           -1.167306                                           
387122                                              [0.000000                                           [-0.0006                                            -1.779420                                           -1.102380                                           
387123                                              [0.000000                                           [-0.0003                                            -9.652000                                           -2.607340                                           
387124                                              [0.000000                                           [-0.0005                                            -8.657220                                           -7.317800                                           
387125                                              [0.000000                                           [-0.0008                                            -8.851920                                           -9.681480                                           
387126                                              [0.000000                                           [-0.0007                                            -9.262980                                           -1.103407                                           
387127                                              [0.000000                                           [-0.0005                                            -2.074400                                           -7.588680                                           
387128                                              [0.000000                                           [-0.0005                                            -9.410160                                           -1.001428                                           
387129                                              [0.000000                                           [-0.0006                                            -8.727500                                           -1.149590                                           
387130                                              [0.000000                                           [-0.0012                                            -8.133660                                           -1.152388                                           
387131                                              [0.000000                                           [-0.0008                                            -8.472800                                           -1.172234                                           
387134                                              [0.000000                                           [-0.0002                                            -8.169360                                           -1.148276                                           
387135                                              [0.000000                                           [-0.0004                                            -8.502140                                           -1.207774                                           
387137                                              [0.000000                                           [-0.0003                                            -8.028780                                           -1.030178                                           
n statistic:  16
mean laser off:  -9.470866921427245e-09 +- 8.744960146841629e-10
mean laser on:  -7.245985697927121e-09 +- 7.632441548425927e-10
S value:  0.23491843375673127
